City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
281,Manggar,ID,-2.8833,108.2667,80.58,79,19,1.77,few clouds
282,Dong Hoi,VN,17.4833,106.6,74.3,95,92,3.06,overcast clouds
283,Swan Hill,AU,-35.3378,143.5544,57.45,65,0,18.75,clear sky
284,Yerbogachen,RU,61.2767,108.0108,16.57,94,88,5.39,overcast clouds
285,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,20,10.36,few clouds
286,Tanout,NE,14.9709,8.8879,95.47,2,99,15.32,overcast clouds
287,Ilulissat,GL,69.2167,-51.1,26.62,80,40,3.44,fog
288,Ciudad Bolivar,VE,8.1222,-63.5497,86.47,42,97,10.67,overcast clouds
289,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,28,0,11.5,clear sky
290,Urusha,RU,54.05,122.9,9.57,90,63,4.72,broken clouds
291,Hervey Bay,AU,-25.2986,152.8535,73.13,70,0,12.62,clear sky
292,Moranbah,AU,-22.0016,148.0466,72.97,49,0,5.57,clear sky
293,Sioux Lookout,CA,50.1001,-91.917,26.67,93,100,2.3,overcast clouds
294,Fez,MA,34.0372,-4.9998,59.25,88,75,16.11,broken clouds
295,Anadyr,RU,64.75,177.4833,-12.5,77,0,6.71,clear sky
296,Barkly West,ZA,-28.5354,24.5215,85.28,29,46,6.93,scattered clouds
297,College,US,64.8569,-147.8028,24.75,69,100,11.5,overcast clouds
298,Yar-Sale,RU,66.8333,70.8333,29.23,97,100,14.81,light snow
299,Bilibino,RU,68.0546,166.4372,-5.53,84,97,3.96,overcast clouds
300,Butembo,CD,0.15,29.2833,65.89,71,88,1.7,overcast clouds
301,Turbat,PK,26.0023,63.044,86.32,6,0,16.37,clear sky
302,Mokhsogollokh,RU,61.4681,128.9203,-3.62,100,84,3.78,broken clouds
303,Manaus,BR,-3.1019,-60.025,81.1,83,75,2.3,moderate rain
304,Oranjemund,NA,-28.55,16.4333,64.71,66,100,19.44,overcast clouds
305,Diu,IN,20.7141,70.9822,79.86,69,0,12.86,clear sky
306,Valparaiso,CL,-33.0393,-71.6273,77.23,33,0,9.22,clear sky
307,Hofn,IS,64.2539,-15.2082,35.62,64,100,3.44,overcast clouds
308,Zhangye,CN,38.9342,100.4517,46.62,26,100,1.32,overcast clouds
309,Acapulco,MX,16.8634,-99.8901,73.22,73,0,3.44,clear sky
310,Galle,LK,6.0367,80.217,80.29,79,6,4.32,clear sky
311,Trincomalee,LK,8.5711,81.2335,80.38,81,10,9.37,clear sky
312,Lakes Entrance,AU,-37.8811,147.981,59.16,89,91,9.13,light rain
313,Mozelos,PT,41.8677,-8.3978,63.25,56,46,9.35,scattered clouds
314,Schwedt,DE,53.0596,14.2815,49.57,47,100,8.81,overcast clouds
315,Carutapera,BR,-1.195,-46.02,74.16,97,100,2.46,moderate rain
316,Mogadishu,SO,2.0371,45.3438,85.87,79,20,16.11,few clouds
317,Verkhnyaya Inta,RU,65.9811,60.3094,6.48,90,100,2.57,overcast clouds
318,Haines Junction,CA,60.7522,-137.5108,30.15,93,100,0.0,overcast clouds
319,Tokur,RU,53.1333,132.9,1.13,97,63,1.48,broken clouds
320,Kamina,CD,-8.7386,24.9906,71.37,89,99,3.33,light rain
321,Tolaga Bay,NZ,-38.3667,178.3,62.58,90,96,12.84,overcast clouds
322,Quatre Cocos,MU,-20.2078,57.7625,77.11,83,94,13.6,light rain
323,Bundaberg,AU,-24.85,152.35,72.21,73,2,5.75,clear sky
324,Zhumadian,CN,32.9794,114.0294,59.5,73,100,7.05,overcast clouds
325,Alice Springs,AU,-23.7,133.8833,74.75,32,10,13.8,clear sky
326,Naze,JP,28.3667,129.4833,65.32,93,100,11.83,light rain
327,Herat,AF,34.5,62.0,55.0,37,0,8.39,clear sky
328,Sinjar,IQ,36.3209,41.8754,65.44,28,98,4.45,overcast clouds
329,Felanitx,ES,39.4696,3.1483,60.13,80,98,17.27,overcast clouds
330,Nhulunbuy,AU,-12.2333,136.7667,75.81,88,72,0.0,broken clouds
331,Mbaiki,CF,3.8678,17.9892,96.15,25,74,4.88,broken clouds
332,Kasongo-Lunda,CD,-6.4667,16.8167,77.83,75,99,1.88,overcast clouds
333,Rocha,UY,-34.4833,-54.3333,63.34,37,6,20.71,clear sky
334,Dingle,PH,10.9995,122.6711,77.77,80,18,6.29,few clouds
335,Kamaishi,JP,39.2667,141.8833,48.0,81,100,5.53,overcast clouds
336,Talcahuano,CL,-36.7167,-73.1167,55.08,44,0,9.22,clear sky
337,Brownwood,US,31.7093,-98.9912,62.96,46,0,16.11,clear sky
338,Qasigiannguit,GL,68.8193,-51.1922,26.85,92,95,2.17,overcast clouds
339,Micheweni,TZ,-4.9667,39.8333,84.07,71,88,11.01,overcast clouds
340,Laguna,US,38.421,-121.4238,52.18,90,75,6.91,broken clouds
341,Freeport,US,40.6576,-73.5832,41.18,35,0,4.61,clear sky
342,Pampa,US,35.5362,-100.9599,38.35,100,75,23.02,broken clouds
343,Kuytun,RU,54.3419,101.5036,10.65,95,62,3.76,broken clouds
